src_blockchain,src_tx_hash,dst_blockchain,dst_tx_hash
bnb,0x53b25db5b968fa7880e1fc5b00983481f3e5f1af677c8b027a0d8286d22f727c,ethereum,0x12ae0acd4d88c181ea97fc3772cf1394ed6c09d8c173f75345a01e71df7f3c26
bnb,0x1fe99ad9d904a4e090c16be056b0484020081943efce5c6c50b69ef7640f8125,ethereum,0xfbd47b1d27d167f2871ecbc9aee67c45beb8e79b75b7c366f3aac3e105fe7e09
bnb,0x1290bea64f9db6d375d67d0cb3c341e63b643af376dca8c47fcac954e0aa2fa2,ethereum,0xc580a21ff9798288145a92e9c0eead32ffc28f7ce9b28ed1c0275838a56edff9
bnb,0xc0361cd88cb734774db760f3aac2cd7477f59a0221a2c0ff8266318b7d6317a8,ethereum,0xe280153aa5d9c6cc3aa2ae6713ad8f91889fa6007485eb54318bd957b74776da
bnb,0x52ea2da12fd44e05fac47d0cc6560d2750eb924d6cdcd9c224778ab8592fc782,ethereum,0x146d4da4c52cb10d265ba26d285c9a3d1ce6e3aceb962bcc755cef93a4f2c282
bnb,0x3d5bf685a09b515d2244cb190f7d0a45b1a13f65ce74326b600ac09e62c744cb,ethereum,0x796f1431ee32fb0efb075aee34cfab13cb35fc4a7c8844641b61e504bbc66532
bnb,0xf887d5a7475340973d8b693cf4cb02b95184e52c65eab19d060bb8b318e05044,ethereum,0xe203c44aada28407ccd95b8b4accf0b089524ee41f18271b9ba1a942c3787324
bnb,0x49795e182e625f0db5e29c865e67d056a63aac88d229d193f0d6c389836b389a,ethereum,0x9b0f4ed63b8228d7b438fafbfa02c8e65d7a8d2151af4c8228d6e7827d5e6c32
bnb,0x2bec5758f0459edd406031e6a9c05bef4919541406eb328eabac20437664ba79,ethereum,0x652a63267cb657e51d4bf54e6ff90f2ce63b2d37e95667478209e1898831df85
bnb,0x5bc39fd73e58f8e205fd00e888857b0cdb8a616004aab419cc2de090752cfc4b,ethereum,0xd10df416734586aee5dcb5cb9058002f397166db51912f7a023e4b4f2c17ad21
bnb,0x228baf2d5ff0cab32cd7a8661334bcc406b185ca15bc9c9cf2f0ed4bf85368dc,ethereum,0x295fe5c40c1746cd3e1cede03a178b4dbdcc2e7c78f3a70db626ab7c66501a5b
bnb,0xeb47c5a24d2216336e95a1eb2ffa93c8e5e7d6061c4315f372e70159a09f48a7,ethereum,0x6b0790b8be78a31450f8f4c61e4bd03a30ce2749fd25cf2ea8ee05d7c983f81a
bnb,0x160dc402d5b151fa2c5f03f4ed55928effb54222f5c852e421e1517bd438cf67,ethereum,0x977517b52f6bf786ad194a5099c157dddf335a7d89d3166c036f76b7b141e0f1
bnb,0xc30d69e9bc72f73bfb80d39b615179e8748ce20405940449805c1941f5a4a526,ethereum,0x7462516af54be874c3a4d89e2840192af289839f609ccd21349c1a33a04b1c29
bnb,0xb1d77e851f447d59ea0986c034914750d199f97729c6ac66f8c7efe81cbfb0f7,ethereum,0x91f9f60ccabc55908627695b6a738f12edf2c1ea29ddddae5ad047f30dc03bb5
bnb,0x0121c8d71d66f1d552a21023a843814f52192a0143e364eba608797463cc1d01,ethereum,0x3d900925dab773b3812bcc954023cf72bc4ffd5380f54b19a4fdd5b6cf49821a
bnb,0xa28e2369ac91a10559ca6ede3e706c1281abfe99a73692a8fe45c9814da98e92,ethereum,0x79928604b4dfecb4ff64089568e7d3660dc65e8724270480f9b27395b2f961d0
bnb,0xca962c23b3f03667d0063bd7f2afd00333050590bb8e56d2084c022842696ef2,ethereum,0x4de32f34bd21a6def666db1137af4b9572250bf4228819f31248ebc2af1cb330
bnb,0xfa3476aced320946f8a3a5dc08a5dedf7b4760f1227bbb95c5b614d453e1073f,ethereum,0x1bb9fff30c0241b386c96b9f360b24e99e0b1f3a80a37f9d084d55112ed2d303
bnb,0xecde7becef9ac6a6ff3fe036a2fbb24cd44840279437272f2a9d20812a7ba4ab,ethereum,0xe2160bb95e195cc43c383c6fb5088295a3d726dfbcbf98484aded8fccbc916af
bnb,0x037c0ab4f4d6c0ad2371996e91d545bfb38f021badfecf86ef3bebde4e867ce4,ethereum,0xcd2359f3eda8b5ecb7bfed335ea5b2336798372795b96c763a925c4b39202c76
bnb,0xbb7ff26eeb99a7decb828c9843ee84a4d7c46d239ca25a39e8ecb1f40d8ac2ca,ethereum,0x57add042cf5d7be48e2357cd9a76715c79145cced9b5dd40b7366347c1370a0a
bnb,0xe179d94f649b47e66ffc13f4bf48b1eab6ad34e47d7e355c1c2a04b087774349,ethereum,0x876b62a1746143d0a9d8db7a56aa25dcf17453d1850b8c5e7dc676beba691d43
